commodity,effective_from,daily_fee_rial,fee_basis,vat_applicable,source_page_url,source_pdf_url,source_kind,confidence,notes
bitumen_60_70,2025-10-20,0,kg,not_applicable_zero_fee,https://www.ime.co.ir/ShowContent.html?i=WDBLY1ZpcTBNU2s9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/10-15-2025/3579691/,official_opening_notice,high,Trading opened 1404-07-28; opening notice explicitly states storage cost is zero
iron_ore_pellet,2025-10-20,2,kg,yes,https://www.ime.co.ir/warehouse.html,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/10-15-2025/3110396/,official_opening_notice,high,Applies to six accepted warehouses; quarterly formula is 1% of prior-quarter final-month average price divided by 365
copper_cathode,2022-01-01,70,kg,yes,https://www.ime.co.ir/ShowContent.html?i=dVQxRkhYU0NGMGM9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/12-28-2021/1417000/ugjosdxgprssxrfq.pdf,official_notice,high,Effective 1400-10-11
saffron,2023-10-02,44,gram,no,https://www.ime.co.ir/ShowContent.html?i=WjhFaDhCaVhyYlU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/9-30-2023/9294240/zaferan.pdf,official_notice,high,Effective 1402-07-10
gold_bullion,2024-09-28,53,certificate_0.1g,yes,https://www.ime.co.ir/ShowContent.html?i=YVdEVG5jcGExb2M9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/9-23-2024/9915115/13c68ead-e301-49f5-a380-349ba4e7215a.pdf,official_notice,high,Effective 1403-07-07
gold_coin,2024-09-28,7004,coin,yes,https://www.ime.co.ir/ShowContent.html?i=YVdEVG5jcGExb2M9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/9-23-2024/9915115/13c68ead-e301-49f5-a380-349ba4e7215a.pdf,official_notice,high,Effective 1403-07-07
saffron,2024-06-26,29,gram,no,https://www.ime.co.ir/ShowContent.html?i=YmN1M2kyQjBtaWs9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/6-22-2024/3569232/3a47b3da-3fe0-4da1-be54-216330833acc.pdf,official_notice,high,Effective 1403-04-06
saffron,2024-09-28,88,gram,no,https://www.ime.co.ir/ShowContent.html?i=YVdEVG5jcGExb2M9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/9-23-2024/9915115/13c68ead-e301-49f5-a380-349ba4e7215a.pdf,official_notice,high,Effective 1403-07-07
pistachio,2024-09-28,366,kg,no,https://www.ime.co.ir/ShowContent.html?i=YVdEVG5jcGExb2M9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/9-23-2024/9915115/13c68ead-e301-49f5-a380-349ba4e7215a.pdf,official_notice,high,Effective 1403-07-07
saffron,2024-12-25,83,gram,no,https://www.ime.co.ir/ShowContent.html?i=a3NubFZYdFdzM3M9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/12-22-2024/9686569/%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%AF%D8%A7%D8%B1%DB%8C.pdf,official_notice,high,Effective 1403-10-05
rice,2024-12-25,86,kg,no,https://www.ime.co.ir/ShowContent.html?i=a3NubFZYdFdzM3M9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/12-22-2024/9686569/%D8%A7%D9%86%D8%A8%D8%A7%D8%B1%D8%AF%D8%A7%D8%B1%DB%8C.pdf,official_notice,high,Effective 1403-10-05
gold_bullion,2025-09-30,125,certificate_0.1g,yes,https://www.ime.co.ir/ShowContent.html?i=WGRaTmY4bitqcEU9,https://www.ime.co.ir/files/ime-co-ir/NewsSystem/9-27-2025/4688205/a1e4c5bc-5382-4a44-a517-5cd07bbe9108.pdf,official_notice,high,Effective 1404-07-08
