category_code	category	original_filename	professional_filename	new_relative_path	size_bytes
1	01-corporate-and-market-rules	اساسنامه نهایی (2).pdf	01-01-iran-energy-exchange-articles-of-association.pdf	01-corporate-and-market-rules/01-01-iran-energy-exchange-articles-of-association.pdf	5815862
1	01-corporate-and-market-rules	دستورالعمل معاملات كالا و اوراق بهادار قابل معامله در بورس انرژي ايران (1).pdf	01-02-commodity-and-securities-trading-instruction.pdf	01-corporate-and-market-rules/01-02-commodity-and-securities-trading-instruction.pdf	781137
1	01-corporate-and-market-rules	دستورالعمل پذیرش کالا و اوراق بهادار قابل معامله در بورس انرژی.pdf	01-03-commodity-and-securities-admission-instruction.pdf	01-corporate-and-market-rules/01-03-commodity-and-securities-admission-instruction.pdf	835653
1	01-corporate-and-market-rules	دستورالعمل ثبت و سپرده_گذاری کالا و اوراق بهادار قابل معامله و تسویه و پایاپای معاملات در بورس انرژی.pdf	01-04-registration-depository-clearing-and-settlement-instruction.pdf	01-corporate-and-market-rules/01-04-registration-depository-clearing-and-settlement-instruction.pdf	669761
1	01-corporate-and-market-rules	59682f71-87eb-11e8-9753-40a8f031c933.pdf	01-05-trading-symbol-definition-rules.pdf	01-corporate-and-market-rules/01-05-trading-symbol-definition-rules.pdf	322485
1	01-corporate-and-market-rules	1b6e377b-d788-11ed-b5ae-005056b98203.xlsx	01-06-electricity-symbols-and-offering-specifications-database.xlsx	01-corporate-and-market-rules/01-06-electricity-symbols-and-offering-specifications-database.xlsx	841747
1	01-corporate-and-market-rules	b8174b3e-57ad-11ea-a608-40a8f031c930.pdf	01-07-online-trading-executive-instruction.pdf	01-corporate-and-market-rules/01-07-online-trading-executive-instruction.pdf	255969
1	01-corporate-and-market-rules	دستورالعمل نحوه انجام امور وکالتی در بورس کالای ایران و بورس انرژی ایران.pdf	01-08-agency-and-power-of-attorney-procedures.pdf	01-corporate-and-market-rules/01-08-agency-and-power-of-attorney-procedures.pdf	458133
1	01-corporate-and-market-rules	ضوابط مجوز دسترسی شرکت_های کارگزاری و کارکنان شرکت_های کارگزاری به سامانه معاملاتی بورس انرژی ایران.docx	01-09-brokerage-access-to-trading-systems-rules.docx	01-corporate-and-market-rules/01-09-brokerage-access-to-trading-systems-rules.docx	28284
1	01-corporate-and-market-rules	کارمزدها 14020715.pdf	01-10-fee-schedule-1402-07-15.pdf	01-corporate-and-market-rules/01-10-fee-schedule-1402-07-15.pdf	3459846
1	01-corporate-and-market-rules	efdf2f2d-0524-11ee-b5b2-005056b98203.pdf	01-11-block-trading-instruction-for-commodity-and-energy-exchanges.pdf	01-corporate-and-market-rules/01-11-block-trading-instruction-for-commodity-and-energy-exchanges.pdf	637520
1	01-corporate-and-market-rules	رویه بلوک- 14050230.pdf	01-12-block-trading-executive-procedure-1405-02-30.pdf	01-corporate-and-market-rules/01-12-block-trading-executive-procedure-1405-02-30.pdf	301904
2	02-physical-market-and-financing	دستورالعمل پذیرش انبار و صدور، معامله و تسویه گواهی سپرده کالایی.pdf	02-01-warehouse-admission-and-commodity-deposit-certificate-trading-instruction.pdf	02-physical-market-and-financing/02-01-warehouse-admission-and-commodity-deposit-certificate-trading-instruction.pdf	873511
